qid,docid
1_1,54129
1_1,7992620
1_1,454554
1_1,1246593
1_1,2979431
1_1,54130
1_1,5093969
1_1,7531948
1_1,1815740
1_1,1377811
1_1,615450
1_1,2202969
1_1,2202966
1_1,2979435
1_1,6784160
1_1,1377815
1_1,5697230
1_1,4559927
1_1,1019703
1_1,3884902
1_1,8831624
1_1,6373371
1_1,7537033
1_1,2263081
1_1,955944
1_1,4227918
1_1,4803704
1_1,3651621
1_1,7929493
1_1,1788115
1_1,6641801
1_1,8182106
1_1,1084357
1_1,8572179
1_1,1788121
1_1,6641805
1_1,5748491
1_1,6641807
1_1,5232932
1_1,5232930
1_1,7801950
1_1,1084354
1_1,862014
1_1,696205
1_1,1084356
1_1,285364
1_1,6203671
1_1,3984223
1_1,1974228
1_1,2566358
1_1,7559382
1_1,955943
1_1,955947
1_1,8182108
1_1,1815734
1_1,3460472
1_1,1815737
1_1,7524935
1_1,1579203
1_1,507161
1_1,955945
1_1,531313
1_1,5232933
1_1,3517920
1_1,4930082
1_1,823884
1_1,7495286
1_1,8590549
1_1,641358
1_1,3022020
1_1,93579
1_1,7183456
1_1,381980
1_1,8255290
1_1,5417123
1_1,6833079
1_1,285365
1_1,531314
1_1,6203670
1_1,996085
1_1,7074588
1_1,8187634
1_1,1579206
1_1,1838307
1_1,3022022
1_1,955948
1_1,696207
1_1,5848353
1_1,3248623
1_1,6729294
1_1,955946
1_1,1246590
1_1,2307790
1_1,1341215
1_1,1974230
1_1,3768308
1_1,6295495
1_1,1084360
1_1,3884906
1_1,4126502
1_1,6584334
1_1,7789522
1_1,8187630
1_1,6607048
1_1,1019702
1_1,1168054
1_1,3272440
1_1,5748494
1_1,2035037
1_1,6203672
1_1,381983
1_1,955949
1_1,7495282
1_1,7204251
1_1,2307794
1_1,3884903
1_1,4771937
1_1,339846
1_1,5385645
1_1,2263082
1_1,696204
1_1,7609842
1_1,4480133
1_1,5469330
1_1,6833082
1_1,1122342
1_1,365781
1_1,6054299
1_1,8020108
1_1,7331752
1_1,2344106
1_1,6784156
1_1,228864
1_1,6784155
1_1,7074593
1_1,2566357
1_1,8281357
1_1,6249672
1_1,8067750
1_1,7875860
1_1,3884907
1_1,3270008
1_1,1536837
1_1,8800672
1_1,5507836
1_1,3022025
1_1,5163977
1_1,8536584
1_1,3527493
1_1,6054051
1_1,3951096
1_1,641355
1_1,3358994
1_1,5906733
1_1,2824075
1_1,696209
1_1,247068
1_1,3070371
1_1,1364827
1_1,7170741
1_1,8451171
1_1,1061564
1_1,145811
1_1,7531950
1_1,311265
1_1,3884908
1_1,6784157
1_1,4928099
1_1,1579205
1_1,5699044
1_1,7731019
1_1,3527492
1_1,535621
1_1,242537
1_1,7074590
1_1,922280
1_1,2662084
1_1,5072931
1_1,3884904
1_1,4734575
1_1,2566363
1_1,3022021
1_1,6373372
1_1,6784159
1_1,5748490
1_1,1128364
1_1,6341205
1_1,7560823
1_1,7992614
1_1,3022019
1_1,6756290
1_1,6857311
1_1,7195464
1_1,6511138
1_1,4928100
1_1,8407876
1_1,7240957
1_1,8020105
1_1,5748489
1_1,7996304
1_1,1838308
1_1,6373375
1_1,7875859
1_1,7992618
1_1,5748487
1_1,8128244
1_1,8733351
1_1,3032703
1_1,3955126
1_1,350912
1_1,1258734
1_1,996088
1_1,4549600
1_1,3022023
1_1,1463010
1_1,1892350
1_1,3911994
1_1,1653150
1_1,4874177
1_1,849267
1_1,4480136
1_1,7531946
1_1,2566360
1_1,8504564
1_1,6341200
1_1,5093965
1_1,6784161
1_1,3884905
1_1,4874174
1_1,4691210
1_1,5748485
1_1,3358990
1_1,922283
1_1,1168050
1_1,1892348
1_1,6094755
1_1,7789519
1_1,6177306
1_1,7531949
1_1,2566359
1_1,8281352
1_1,6784163
1_1,3911999
1_1,5417122
1_1,7683180
1_1,8451170
1_1,7225587
1_1,6008612
1_1,5916185
1_1,2329378
1_1,3358995
1_1,3090808
1_1,6923159
1_1,7447138
1_1,1960559
1_1,3358992
1_1,1019699
1_1,4790892
1_1,4117645
1_1,3984224
1_1,5866945
1_1,5507831
1_1,6798387
1_1,6466105
1_1,7789518
1_1,5469332
1_1,228863
1_1,4003508
1_1,6347281
1_1,3272445
1_1,1344392
1_1,2866831
1_1,5507837
1_1,389690
1_1,1892349
1_1,311263
1_1,127749
1_1,5855851
1_1,7495289
1_1,4389107
1_1,5756913
1_1,8466891
1_1,2856891
1_1,355203
1_1,3538994
1_1,4297356
1_1,1838313
1_1,6313788
1_1,3515867
1_1,2623850
1_1,2162686
1_1,5507832
1_1,351061
1_1,7495284
1_1,6331604
1_1,3633943
1_1,6318386
1_1,4455127
1_1,6857306
1_1,5780720
1_1,3272447
1_1,6249670
1_1,17339
1_1,5748492
1_1,1810486
1_1,3538990
1_1,8281355
1_1,5093968
1_1,5687996
1_1,8070675
1_1,8269418
1_1,309485
1_1,2849835
1_1,6783721
1_1,5417121
1_1,6857308
1_1,6784162
1_1,1168056
1_1,2298931
1_1,6550994
1_1,5806343
1_1,4656328
1_1,1344394
1_1,8528098
1_1,4048272
1_1,454550
1_1,7495281
1_1,3855532
1_1,7559385
1_1,6030018
1_1,6341201
1_1,1676825
1_1,307319
1_1,8182113
1_1,1019701
1_1,3912001
1_1,7447135
1_1,1154644
1_1,3452027
1_1,7090806
1_1,7559383
1_1,6318384
1_1,355199
1_1,1653153
1_1,1344401
1_1,1168055
1_1,8101729
1_1,5515689
