<<<<<<< HEAD
=======
qid,docid
>>>>>>> 79bfc58792078c58e9021baa7623e603c43b053a
1_1,615450
1_1,7537033
1_1,7992620
1_1,2979431
1_1,8590549
1_1,54126
1_1,2979435
1_1,54129
1_1,454554
1_1,955944
1_1,6737372
1_1,5748494
1_1,3248624
1_1,5232930
1_1,7929493
1_1,8831624
1_1,1246593
1_1,4559927
1_1,5692406
1_1,7531948
1_1,6373371
1_1,3460472
1_1,1280737
1_1,955946
1_1,531314
1_1,454551
1_1,6094755
1_1,1377811
1_1,8128244
1_1,5093969
1_1,54130
1_1,6203668
1_1,5232929
1_1,5232933
1_1,6784160
1_1,3452025
1_1,309485
1_1,6489728
1_1,4691210
1_1,3517920
1_1,474955
1_1,7447142
1_1,1377815
1_1,6203669
1_1,6295499
1_1,1815740
1_1,8356890
1_1,324609
1_1,6923163
1_1,1084356
1_1,2035037
1_1,641358
1_1,755124
1_1,6923159
1_1,2307794
1_1,3538994
1_1,5748491
1_1,1084354
1_1,1183710
1_1,955952
1_1,6607048
1_1,6203670
1_1,4757594
1_1,2264420
1_1,5507836
1_1,5283004
1_1,1974230
1_1,5232932
1_1,1033652
1_1,8838820
1_1,7342287
1_1,6281622
1_1,4692554
1_1,2298934
1_1,7225587
1_1,2297149
1_1,7074588
1_1,2037274
1_1,8392401
1_1,3951096
1_1,360492
1_1,5143536
1_1,5232934
1_1,2202966
1_1,7514660
1_1,955951
1_1,3146869
1_1,615448
1_1,6203671
1_1,8182106
1_1,4508598
1_1,7524935
1_1,955950
1_1,641355
1_1,1579206
1_1,6550994
1_1,6996364
1_1,3270008
1_1,996085
1_1,507161
1_1,823884
1_1,3022020
1_1,365781
1_1,955943
1_1,447983
1_1,6679411
1_1,955947
1_1,1993566
1_1,506225
1_1,955945
1_1,4757604
1_1,6168471
1_1,1579205
1_1,2099257
1_1,5549901
1_1,3242838
1_1,1205156
1_1,8182108
1_1,696207
1_1,7090804
1_1,2216520
1_1,3911994
1_1,285365
1_1,3633947
1_1,3884907
1_1,1168054
1_1,3884908
1_1,2298931
1_1,6295495
1_1,3812177
1_1,5748486
1_1,6641801
1_1,2273047
1_1,1019702
1_1,7090802
1_1,8124869
1_1,8731989
1_1,7090806
1_1,4480136
1_1,3884906
1_1,7495286
1_1,3746390
1_1,6607054
1_1,7074592
1_1,1377810
1_1,7992621
1_1,257781
1_1,840657
1_1,4511386
1_1,5663691
1_1,5848351
1_1,1110498
1_1,8536584
1_1,3517913
1_1,7901298
1_1,8255290
1_1,1265449
1_1,7676631
1_1,1804067
1_1,3984227
1_1,7676632
1_1,8121016
1_1,3984223
1_1,6646832
1_1,381980
1_1,7537032
1_1,7514654
1_1,2437232
1_1,3911999
1_1,3600884
1_1,3272440
1_1,6791031
1_1,2945763
1_1,8407876
1_1,7111524
1_1,2849832
1_1,6743777
1_1,5282999
1_1,454553
1_1,5748493
1_1,1788115
1_1,1788121
1_1,6641805
1_1,6641807
1_1,7801950
1_1,1084355
1_1,513538
1_1,2162685
1_1,2298929
1_1,381986
1_1,7230539
1_1,2139846
1_1,8733351
1_1,3812240
1_1,7978314
1_1,327813
1_1,6685324
1_1,1384444
1_1,7332116
1_1,7332119
1_1,5361784
1_1,3022021
1_1,3270013
1_1,1258729
1_1,2747647
1_1,3022022
1_1,2673186
1_1,8467951
1_1,902801
1_1,3651621
1_1,381983
1_1,6162146
1_1,5756944
1_1,4226660
1_1,4803704
1_1,6190382
1_1,1492908
1_1,6373372
1_1,4563081
1_1,4363117
1_1,4816291
1_1,1684173
1_1,2069849
1_1,3115715
1_1,2297142
1_1,6833079
1_1,5158749
1_1,4389107
1_1,4511387
1_1,564631
1_1,4724220
1_1,474960
1_1,7996304
1_1,8105953
1_1,3633943
1_1,7561233
1_1,4816293
1_1,7783919
1_1,8638041
1_1,2190353
1_1,324608
1_1,7559382
1_1,7692218
1_1,1653427
1_1,22975
1_1,2162681
1_1,360494
1_1,4930082
1_1,6525446
1_1,228870
1_1,3971796
1_1,454552
1_1,4511385
1_1,467253
1_1,1019703
1_1,2043960
1_1,7814723
1_1,40436
1_1,1188583
1_1,6583552
1_1,3358995
1_1,5697230
1_1,4150421
1_1,1503075
1_1,4816294
1_1,8299599
1_1,6784156
1_1,5507830
1_1,1448111
1_1,5929317
1_1,5163974
1_1,6584334
1_1,1492907
1_1,343749
1_1,8580873
1_1,698479
1_1,2873909
1_1,6093923
1_1,7090805
1_1,6293141
1_1,1061561
1_1,1682149
1_1,2252518
1_1,1584622
1_1,4029398
1_1,2904128
1_1,2514670
1_1,3452027
1_1,1892350
1_1,252867
1_1,6249671
1_1,6466106
1_1,6301282
1_1,7814721
1_1,4915172
1_1,2307790
1_1,5436148
1_1,3681796
1_1,5745266
1_1,6143108
1_1,8146293
1_1,7183456
1_1,2355009
1_1,902804
1_1,5723214
1_1,7899540
1_1,93584
1_1,7495282
1_1,496238
1_1,6006254
1_1,7182601
1_1,8161376
1_1,7589356
1_1,7044852
1_1,1416161
1_1,4483170
1_1,7391459
1_1,5167311
1_1,3615735
1_1,5748487
1_1,8791239
1_1,5748485
1_1,7153549
1_1,6035437
1_1,2925276
1_1,4211575
1_1,1637553
1_1,1637554
1_1,288394
1_1,5464669
1_1,6794803
1_1,3419051
1_1,5563032
1_1,2159215
1_1,4845071
1_1,2684143
1_1,1279784
1_1,454548
1_1,4605458
1_1,3241399
1_1,2165524
1_1,6820183
1_1,5167309
1_1,5111865
1_1,54123
1_1,351061
1_1,1361541
1_1,884412
1_1,6889546
1_1,4227918
1_1,2938952
1_1,3141800
1_1,2482190
1_1,1811864
1_1,5499279
1_1,365778
1_1,532773
1_1,2202964
1_1,4559923
1_1,3238026
1_1,3238022
1_1,813071
1_1,1514396
1_1,1280739
1_1,3090807
1_1,1463010
1_1,4549600
1_1,90050
1_1,7652567
1_1,7644694
1_1,1095757
1_1,5419528
1_1,2927487
1_1,5000298
1_1,1849808
1_1,5163976
1_1,7867816
1_1,5132679
1_1,6608917
1_1,5768540
1_1,8023594
1_1,6796093
1_1,8285564
1_1,3141804
1_1,1579208
1_1,6813554
1_1,3884902
1_1,3941804
1_1,1593376
1_1,1344392
1_1,7670004
1_1,1186228
1_1,7575064
1_1,513541
1_1,2121712
1_1,878278
1_1,1674397
1_1,4276115
1_1,6351362
1_1,1361535
1_1,8653358
1_1,1188584
1_1,472233
1_1,4724218
1_1,4559928
1_1,2230342
1_1,8023593
1_1,2211277
1_1,473453
1_1,8418650
1_1,1811863
1_1,959889
1_1,2139851
1_1,3849374
1_1,8623297
1_1,3188779
1_1,1749218
1_1,2747642
1_1,5000300
1_1,2437233
1_1,5783780
1_1,7514651
1_1,6992308
1_1,1861919
1_1,615446
1_1,40437
1_1,96262
1_1,244750
1_1,1258734
1_1,8121015
1_1,8428707
1_1,1623514
1_1,247068
1_1,285364
1_1,1895906
1_1,1084358
1_1,3160978
1_1,2455044
1_1,5304880
1_1,862015
1_1,2787094
1_1,7372831
1_1,5882978
1_1,5313085
1_1,2202969
1_1,3195793
1_1,6000534
1_1,884417
1_1,6249670
1_1,6466105
1_1,4257056
1_1,8048701
1_1,2192375
1_1,6755459
1_1,2307792
1_1,4752536
1_1,4376620
1_1,5232935
1_1,5283006
1_1,110089
1_1,7186188
1_1,8299503
1_1,3355212
1_1,3098055
1_1,4229788
1_1,8387509
1_1,5839980
1_1,4508595
1_1,1276108
1_1,4978579
1_1,5659945
1_1,2456425
1_1,3934440
1_1,2956990
1_1,8656409
1_1,5399070
1_1,6313785
1_1,8395750
1_1,3936072
1_1,1579203
1_1,8215124
1_1,5723213
1_1,4790892
1_1,8180829
1_1,365784
1_1,884413
1_1,3211647
1_1,1803688
1_1,8458620
1_1,2623847
1_1,4663428
1_1,4790890
1_1,6952226
1_1,389685
1_1,1736131
1_1,1892349
1_1,1566905
1_1,47765
1_1,6314221
1_1,1114095
1_1,3440433
1_1,214223
1_1,8507926
1_1,7815199
1_1,5313763
1_1,5304882
1_1,7941462
1_1,1346056
1_1,3032699
1_1,7644696
1_1,6813559
1_1,5939645
1_1,3633948
1_1,2904130
1_1,8179579
1_1,8725739
1_1,2550913
1_1,7495289
1_1,4276114
1_1,2190349
1_1,878275
1_1,3776931
1_1,1401800
1_1,8640850
1_1,7675880
1_1,2939452
1_1,2985736
1_1,5748490
1_1,3855532
1_1,2714158
1_1,4934604
1_1,2772152
1_1,3877093
1_1,2093446
1_1,5254271
1_1,3812182
1_1,6485158
1_1,8602716
1_1,68950
1_1,7941461
1_1,7542799
1_1,2849833
1_1,6922004
1_1,8556751
1_1,7514911
1_1,1114091
1_1,8489546
1_1,2362004
1_1,1061563
1_1,1386077
1_1,3165114
1_1,8070931
1_1,1285757
1_1,2190016
1_1,5255352
1_1,6190385
1_1,7826539
1_1,1330636
1_1,2416460
1_1,8353855
1_1,1310874
1_1,2595199
1_1,1166184
1_1,531312
1_1,8688679
1_1,7760785
1_1,1529879
1_1,2925178
1_1,7796703
1_1,3551048
1_1,2106417
1_1,3270011
1_1,8416208
1_1,1292510
1_1,74734
1_1,7368023
1_1,3770286
1_1,4475373
1_1,3454739
1_1,6743779
1_1,3517915
1_1,3169213
1_1,1225903
1_1,7992619
1_1,757084
1_1,4231400
1_1,535619
1_1,3411298
1_1,5855851
1_1,7610801
1_1,950112
1_1,7815204
1_1,2350628
1_1,1897658
1_1,4982679
1_1,6525445
1_1,847995
1_1,6297115
1_1,5295096
1_1,7640334
1_1,3758707
1_1,1441664
1_1,234325
1_1,6264983
1_1,7182758
1_1,2945759
1_1,6072886
1_1,4825330
1_1,2782074
1_1,2673184
1_1,878280
1_1,7204251
1_1,2298927
1_1,3454738
1_1,591391
1_1,5316510
1_1,3661044
1_1,2279844
1_1,1364827
1_1,3849375
1_1,4691209
1_1,2121137
1_1,931711
1_1,689879
1_1,1867112
1_1,2136768
1_1,5073218
1_1,6807591
1_1,6796214
1_1,7731019
1_1,875950
1_1,3565250
1_1,8352264
1_1,3166897
1_1,4480134
1_1,2403421
1_1,5925697
1_1,1694360
1_1,4112113
1_1,3185317
1_1,97046
1_1,823264
1_1,7029023
1_1,5748489
1_1,6373375
1_1,3755697
1_1,844435
1_1,2100717
1_1,3827262
1_1,7679099
1_1,4095946
1_1,5194163
1_1,1220976
1_1,3036280
1_1,5643507
1_1,2350631
1_1,379760
1_1,1838311
1_1,5221262
1_1,8476512
1_1,1377812
1_1,5709400
1_1,6223683
1_1,2787841
1_1,7045168
1_1,1468159
1_1,7143699
1_1,1034212
1_1,5916182
1_1,2290571
1_1,6054051
1_1,1188588
1_1,7331752
1_1,1122342
1_1,8416206
1_1,2841649
1_1,3160642
1_1,799889
1_1,2421034
1_1,7674054
1_1,8175508
1_1,831517
1_1,8439344
1_1,7814728
1_1,2450376
1_1,5464673
1_1,1878077
1_1,571494
1_1,2509814
1_1,1892346
1_1,3500654
1_1,276981
1_1,2027777
1_1,3643719
1_1,2307796
1_1,3336473
1_1,4620145
1_1,6947000
1_1,2785156
1_1,5163975
1_1,214222
1_1,3188782
1_1,3497834
1_1,3042514
1_1,5385646
1_1,7446923
1_1,6403374
1_1,6373373
1_1,1353109
1_1,4575715
1_1,3777998
1_1,5044870
1_1,1207557
1_1,3661043
1_1,2164600
1_1,7222968
1_1,8663951
1_1,1170119
1_1,3561910
1_1,8262772
1_1,5848353
1_1,5313079
1_1,7789522
1_1,7686276
1_1,1536837
1_1,8185287
1_1,6178699
1_1,2632593
1_1,7088806
1_1,6584655
1_1,8179667
1_1,1344395
1_1,7166341
1_1,7342281
1_1,7044736
1_1,1815734
1_1,2360407
1_1,3070371
1_1,2350623
1_1,2350625
1_1,6530077
1_1,1019704
1_1,6477016
1_1,5451313
1_1,7894182
1_1,1316156
1_1,6873768
1_1,3294273
1_1,8791241
1_1,31065
1_1,3109583
1_1,8558116
1_1,3474132
1_1,5762489
1_1,289316
1_1,1788119
1_1,3222752
1_1,2623850
1_1,1687062
1_1,93579
1_1,4598922
1_1,3480249
1_1,4086884
1_1,838992
1_1,300901
1_1,3370437
1_1,1605790
1_1,6376891
1_1,5167316
1_1,360692
1_1,5464676
1_1,7514658
1_1,763730
1_1,1084357
1_1,388884
1_1,6658230
1_1,2263081
1_1,3689626
1_1,1593369
1_1,7992614
1_1,1595465
1_1,2022866
1_1,4487233
1_1,2481488
1_1,6607051
1_1,6798388
1_1,6943713
1_1,7018787
1_1,1972448
1_1,3837509
1_1,2027394
1_1,8187634
1_1,3728542
1_1,3008693
1_1,145811
1_1,1252510
1_1,4104037
1_1,7095819
1_1,7724629
1_1,1807744
1_1,2703838
1_1,87622
1_1,8392403
1_1,2566363
1_1,2401595
1_1,260186
1_1,1361540
1_1,5768515
1_1,1019705
1_1,3382604
1_1,3884903
1_1,1749810
1_1,6100549
1_1,3940709
1_1,4014351
1_1,3856368
1_1,1270579
1_1,2925571
1_1,6341204
1_1,1781204
1_1,5335819
1_1,4580863
1_1,360495
1_1,3770290
1_1,6607056
1_1,2567071
1_1,1110493
1_1,2871552
1_1,307319
1_1,5229600
1_1,2748469
1_1,615449
1_1,7252980
1_1,684198
1_1,5927841
1_1,1012021
1_1,7901302
1_1,6249672
1_1,2933062
1_1,1234813
1_1,3144216
1_1,4943590
1_1,8413170
1_1,2760849
1_1,5885792
1_1,696205
1_1,3696963
1_1,812179
1_1,1285760
1_1,178344
1_1,8240925
1_1,4297355
1_1,1877959
1_1,3527492
1_1,7074590
1_1,2061269
1_1,2997832
1_1,2139852
1_1,6658231
1_1,6658232
1_1,3912001
1_1,2325366
1_1,573449
1_1,2246579
1_1,4654386
1_1,6301299
1_1,3347021
1_1,7185009
1_1,3722108
1_1,4670787
1_1,6784163
1_1,5377134
1_1,1343791
1_1,2616629
1_1,4950778
1_1,3272444
1_1,5975176
1_1,8407883
1_1,7445755
1_1,2935766
1_1,3146871
1_1,2753220
1_1,6187539
1_1,7209059
1_1,5649752
1_1,573452
1_1,6748832
1_1,4580449
1_1,3812236
1_1,7331750
1_1,7941467
1_1,751397
1_1,535621
1_1,1622052
1_1,732029
1_1,1361539
1_1,2452722
1_1,3776937
1_1,2830523
1_1,324607
1_1,2162682
1_1,5756387
1_1,351062
1_1,4712177
1_1,7182605
1_1,796474
1_1,2344106
1_1,959885
1_1,1100443
1_1,4455128
1_1,1084360
1_1,1687064
1_1,789910
1_1,3262676
1_1,4559059
1_1,7174290
1_1,349672
1_1,4127800
1_1,1297924
1_1,853916
1_1,2871547
1_1,1935579
1_1,1448110
1_1,6477361
1_1,360694
1_1,4000434
1_1,1892348
1_1,4112549
1_1,5927844
1_1,1831588
1_1,7783009
1_1,1708693
1_1,6069894
1_1,2849666
1_1,3201869
1_1,7305299
1_1,1388854
1_1,5842067
1_1,2566358
1_1,3492836
1_1,6006255
1_1,4559924
1_1,3029386
1_1,844464
1_1,1514401
1_1,3741293
1_1,3008694
1_1,5464675
1_1,8451170
1_1,1415107
1_1,2082349
1_1,7252451
1_1,2061276
1_1,5137025
1_1,2486309
1_1,2886836
1_1,2663611
1_1,8501777
1_1,4257062
1_1,2608980
1_1,4026044
1_1,5436140
1_1,8182109
1_1,7386477
1_1,2776566
1_1,6266327
1_1,4990737
1_1,2026116
1_1,1584620
1_1,4559925
1_1,40433
1_1,40434
1_1,634732
1_1,4058136
1_1,3118071
1_1,1667421
1_1,5143497
1_1,535613
1_1,5195418
1_1,5927648
1_1,692403
1_1,6150308
1_1,5456634
1_1,1887579
1_1,5584772
1_1,8023595
1_1,6992306
1_1,1682147
1_1,7799068
1_1,4758951
1_1,6867215
1_1,6867216
1_1,8407875
1_1,1133961
1_1,422834
1_1,2838997
1_1,7333181
1_1,4201746
1_1,2297143
1_1,4691211
1_2,6784159
1_2,7531951
1_2,7040320
1_2,5865393
1_2,3033432
1_2,2329378
1_2,7342281
1_2,2263085
1_2,355199
1_2,6857310
1_2,6704126
1_2,3033433
1_2,1344392
1_2,1344401
1_2,6341203
1_2,355203
1_2,17343
1_2,6745177
1_2,3142454
1_2,5093965
1_2,6286519
1_2,5748492
1_2,2027776
1_2,5436148
1_2,5692406
1_2,7040322
1_2,54127
1_2,3032705
1_2,6704131
1_2,1815739
1_2,5579923
1_2,1168056
1_2,5093968
1_2,5848351
1_2,228870
1_2,5093962
1_2,6249678
1_2,5748487
1_2,247067
1_2,3812182
1_2,6094755
1_2,1788115
1_2,1788121
1_2,6641805
1_2,6641807
1_2,7801950
1_2,2833166
1_2,3651621
1_2,7342287
1_2,8188493
1_2,7789518
1_2,3022024
1_2,3022022
1_2,8281352
1_2,2833158
1_2,5436140
1_2,4692559
1_2,7996304
1_2,7531953
1_2,4928103
1_2,5906742
1_2,7040324
1_2,3033427
1_2,3022019
1_2,1168049
1_2,1279315
1_2,4304820
1_2,5606020
1_2,5132679
1_2,2329380
1_2,6489728
1_2,6641801
1_2,6295499
1_2,17344
1_2,7495289
1_2,7495283
1_2,5848352
1_2,1017613
1_2,6784158
1_2,3032704
1_2,1544451
1_2,5579926
1_2,5748494
1_2,5385642
1_2,8528285
1_2,5865394
1_2,7342282
1_2,8504564
1_2,228863
1_2,8451169
1_2,8451170
1_2,7537031
1_2,6985583
1_2,6253216
1_2,6030018
1_2,6784163
1_2,1810482
1_2,1246594
1_2,6295495
1_2,6685189
1_2,4874178
1_2,4874176
1_2,8127919
1_2,5526717
1_2,1810481
1_2,655926
1_2,5417125
1_2,17337
