qid,query,topic_number,turn_number
4_1,the neolithic revolution was a period of significant cultural economic and social change when humans transitioned from a hunter gatherer lifestyle to a settled agricultural society it began around 12 000 years ago and lasted until about 5,4.0,1.0
4_2,the neolithic revolution began around 10 000 bce and ended between 4000 and 2000 bce depending on the region,4.0,2.0
4_3,the neolithic revolution began around 12 000 years ago and is thought to have been started as a result of human populations transitioning from a hunter gatherer lifestyle to one of agriculture and animal domestication this transition allowed for the development of,4.0,3.0
4_4,the neolithic revolution is credited with the invention of agriculture which included the domestication of animals the cultivation of crops and the manufacture of pottery it also saw the development of new technologies such as stone tools the wheel,4.0,4.0
4_5,tools used during the neolithic revolution included stone tools such as axes knives and chisels as well as grinders and pounders for crushing and grinding grains they also used animal powered tools such as plows and sled,4.0,5.0
4_6,the neolithic revolution was brought to the british isles around 4000 bc,4.0,6.0
4_7,the period that follows the neolithic revolution is known as the bronze age this period began around 3000 bc and lasted until 1200 bc in the near east during this period bronze was the primary metal used for tools and weapons this period,4.0,7.0
4_8,the neolithic revolution was a period of transition in human history when nomadic hunter gatherer societies started to settle in permanent villages and to practice farming and animal husbandry it was a significant period as it marked the beginning of the,4.0,8.0
4_9,the houses of the neolithic revolution were usually made out of materials like mud stone and wood they were often built with a circular shape and had sloped roofs some homes were also built with a central hearth which was,4.0,9.0
17_1,the neolithic revolution saw the development of the use of different forms of energy including human energy animal energy fire energy and wind energy human energy was used for labor and was essential in the farming of crops the building of,17.0,1.0
17_2,energy can be stored in a variety of ways such as in batteries fuel cells flywheels pumped hydro and compressed air batteries store energy as chemical energy while fuel cells store energy as a combination of thermal,17.0,2.0
17_3,the type of energy used in motion is kinetic energy kinetic energy is the energy of an object or particle due to its motion it is the energy associated with the movement of an object or particle and is equal to the amount of work,17.0,3.0
17_4,mechanical energy is the energy associated with the movement of an object it is the sum of the kinetic energy and potential energy of the object kinetic energy is the energy associated with the motion of an object while potential energy is the,17.0,4.0
17_5,examples of mechanical energy include energy from a wind turbine a car engine a bicycle a roller coaster a pendulum a water wheel and a sailing ship,17.0,5.0
17_6,sound is a form of mechanical energy because it is created by the vibration of molecules in a medium such as air water or solid objects the vibration of the molecules creates pressure waves that travel through the medium and when they reach the,17.0,6.0
