qid,query,topic_number,turn_number
4_1,What was the neolithic revolution?,4,1
4_2,When did it start and end?,4,2
4_3,Why did it start?,4,3
4_4,What did the neolithic invent?,4,4
4_5,What tools were used?,4,5
4_6,When was it brought to the british isles?,4,6
4_7,Describe the period that follows it.,4,7
4_8,What was its significance?,4,8
4_9,What were the houses like?,4,9
17_1,What are the different forms of energy?,17,1
17_2,How can it be stored?,17,2
17_3,What type of energy is used in motion?,17,3
17_4,Tell me about mechanical energy.,17,4
17_5,Give me some examples.,17,5
17_6,Why is sound a form of mechanical energy?,17,6
17_7,How does it differ from potential energy?,17,7
17_8,Are potential and kinetic the same?,17,8
17_9,What type does chemical energy belong to?,17,9
17_10,What form of energy is used in eating?,17,10
18_1,Describe Uranus.,18,1
18_2,What makes it so unusual?,18,2
18_3,Tell me about its orbit.,18,3
18_4,Why is it tilted?,18,4
18_5,How is its rotation different from other planets?,18,5
18_6,What is peculiar about its seasons?,18,6
18_7,Are there any other planets similar to it?,18,7
18_8,Describe the characteristics of Neptune.,18,8
18_9,Why is it important to our solar system?,18,9
18_10,How are these two planets similar to each other?,18,10
18_11,Can life exist on either of them?,18,11
22_1,What are the most common spices used in cooking?,22,1
22_2,How are they different from herbs?,22,2
22_3,Why do spices taste good?,22,3
22_4,Where do most of them come from?,22,4
22_5,What cuisines use them heavily?,22,5
22_6,What are the most popular Indian ones?,22,6
22_7,Tell me about turmeric.,22,7
22_8,Are there any benefits of consuming it?,22,8
22_9,What is the oldest spice?,22,9
22_10,What is the most expensive and why?,22,10
24_1,How can I help my friend stop smoking?,24,1
24_2,What are its long term effects?,24,2
24_3,Does it cause cancer?,24,3
24_4,What makes it so addictive?,24,4
24_5,Are there any alternatives to nicotine?,24,5
24_6,How effective are the patches?,24,6
24_7,Tell me about the cold turkey method.,24,7
24_8,Describe typical withdrawal symptoms.,24,8
27_1,What comprises a balanced diet?,27,1
27_2,Is it the same for men as well as women?,27,2
27_3,What are some specific recommendations for women?,27,3
27_4,Are dairy products necessary for a good health?,27,4
27_5,Can it harm you instead?,27,5
27_6,How necessary is fiber?,27,6
27_7,What happens if it's consumed in a smaller amount than recommended?,27,7
30_1,What are some advantages of using Linux?,30,1
30_2,Can I run Windows software in it?,30,2
30_3,How does it compare to Windows?,30,3
30_4,Which of these is more popular?,30,4
30_5,How do I install software on it?,30,5
30_6,What is an easy way to install Python?,30,6
30_7,Tell me about how I can share files.,30,7
40_1,What are the origins of popular music? ,40,1
40_2,What are its characteristics?,40,2
40_3,What technological developments enabled it?,40,3
40_4,When and why did people start taking pop seriously? ,40,4
40_5,How has it been integrated into music education? ,40,5
40_6,Describe some of the influential pop bands. ,40,6
40_7,What makes a song pop punk?,40,7
40_8,What is the difference between it and emo?,40,8
49_1,How was Netflix started? ,49,1
49_2,How did it originally work?,49,2
49_3,What is its relationship with Blockbuster?,49,3
49_4,When did Netflix shift from DVDs to a streaming service?,49,4
49_5,What are its other competitors? ,49,5
